title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
Bachelor of Science in Pharmaceutical Technology April 2019,"Institute of Technology, Tallaght",Bachelor of Science in Pharmaceutical Technology,65,Part Time,10/5/2019,17/6/2019,30/6/2020,7,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6576
Certificate in Food and Beverage Operations [Consortium],Letterkenny Institute of Technology,minor,70,Part Time,5/4/2019,8/4/2019,21/6/2019,6,Yes,['services'],https://springboardcourses.ie/details/6575
ACCA Diploma in Accounting and Business March 2019,Professional Accountancy Training,ACCA Diploma in Accounting and Business,45,Part Time,22/3/2019,27/3/2019,31/3/2020,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6574
Certificate in Data Protection - WICKLOW CAMPUS(March 2019),"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,7/3/2019,8/3/2019,22/3/2019,8,Yes,['services'],https://springboardcourses.ie/details/6570
Certificate in Data Protection (March 2019),"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,20/3/2019,27/3/2019,10/4/2019,8,Yes,['services'],https://springboardcourses.ie/details/6568
"Postgraduate Certificate in Creative Thinking, Innovation & Entrepreneurship (Returners - March 2019)",Trinity College Dublin,"Postgraduate Certificate in Creative Thinking, Innovation and Entrepreneurship",30,Part Time,15/3/2019,27/3/2019,9/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6565
Entrepreneurs Programme leading to an Advanced Certificate in Management Practice (March 2019),Irish Times Training,Advanced Certificate in Management Practice ,30,Part Time,21/3/2019,28/3/2019,1/8/2019,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6561
Postgraduate Certificate in Innovation and Enterprise Development (Cork),Trinity College Dublin,Postgraduate Certificate,30,Part Time,14/3/2019,25/3/2019,9/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6557
Postgraduate Certificate in Innovation and Enterprise Development (Galway),Trinity College Dublin,Postgraduate Certificate,30,Part Time,22/3/2019,25/3/2019,9/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6556
Postgraduate Certificate in Innovation and Enterprise Development (Limerick),Trinity College Dublin,Postgraduate Certificate,30,Part Time,15/3/2019,25/3/2019,9/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6555
Level 7 Degree in Pharmaceutical Business Operations [March  2019] [Dublin],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,27/3/2019,27/3/2019,10/1/2020,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6553
Level 7 Degree in Pharmaceutical Business Operations [March  2019] [Cork],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,29/3/2019,29/3/2019,10/1/2020,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6551
"Certificate in Purchasing Strategy, Quality Management and Lean Six Sigma (Dublin)","Institute of Technology, Carlow",NFQ Level 6 (60 credits),60,Part Time,24/1/2019,4/2/2019,30/5/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6546
"Certificate in Operations, Quality and Lean Management (Tullamore - January 2019)",Athlone Institute of Technology,"Certificate in Operations, Quality and Lean Management",60,Part Time,5/2/2019,6/2/2019,20/12/2019,6,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6543
"Certificate in Operations, Quality and Lean Management (Athlone - January 2019)",Athlone Institute of Technology,"Certificate in Operations, Quality and Lean Management",60,Part Time,31/1/2019,31/1/2019,20/12/2019,6,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6541
PRACTICAL ENTREPRENEURSHIP- Learn to work for yourself FEB 2019,The Entrepreneurs Academy,QQI Level 6 Business Planning,15,Part Time,23/2/2019,23/2/2019,15/6/2019,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6539
SPA Construction Management,Athlone Institute of Technology,Certificate - Special Purpose Award,40,Part Time,18/1/2019,25/1/2019,20/12/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6538
Higher Diploma in Food Science and Technology [January 2019] [Cork],Innopharma College of Applied Sciences,Level 8 Higher Diploma QQI,70,Part Time,30/1/2019,30/1/2019,10/1/2020,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6535
Certificate in Aircraft Acquisition & Finance (Special Purpose) [March 2019],"Institute of Technology, Carlow",NFQ Level 7 - 10 credit module,10,Part Time,1/3/2019,8/3/2019,30/3/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6530
Certificate in Pharmaceutical and Medical Device Operations - Limerick/Online [January 2019],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,6/2/2019,6/2/2019,23/8/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6528
Diploma in Pharmaceutical and Medical Device Manufacturing [January 2019] [Dublin],Innopharma College of Applied Sciences,Level 8 Higher Diploma Award QQI,70,Part Time,21/1/2019,2/2/2019,31/1/2020,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6524
MSc in Food Business Management and Technology [January 2019],Innopharma College of Applied Sciences,MSc in Food Business Management and Technology ,90,Part Time,31/1/2019,2/2/2019,10/1/2020,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6522
Certificate in Data Protection (Feb 2019),"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,3/2/2019,6/2/2019,20/2/2019,8,Yes,['services'],https://springboardcourses.ie/details/6521
Building Information Modelling (BIM) - with Revit MEP,Limerick Institute of Technology,"Special Purpose Award (Level 6, 10 Credits)",10,Part Time,28/1/2019,29/1/2019,2/4/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6517
BA (Hons) Hotel Management,"Institute of Technology, Tralee",Minor,60,Part Time,4/1/2019,21/1/2019,20/12/2019,8,Yes,['services'],https://springboardcourses.ie/details/6508
